Position,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,yearID,teamID,OPS
RF,162,619,70,168,39,0,14,89,69,9,112,5,0,9,0,3,16,0,2,0.271,0.345,0.402,2016,ATL,0.747
C,172,594,80,168,31,0,30,98,45,3,121,33,1,4,0,7,12,0,1,0.283,0.364,0.487,2017,ATL,0.851
1B,173,619,107,183,48,3,39,103,76,16,143,7,0,5,0,4,11,7,5,0.296,0.376,0.572,2017,ATL,0.948
2B,180,646,96,180,43,6,15,71,44,3,96,12,2,3,0,5,14,19,5,0.279,0.335,0.433,2017,ATL,0.768
3B,189,639,81,156,21,2,16,75,46,5,128,4,3,5,0,9,27,8,4,0.244,0.297,0.358,2017,ATL,0.655
SS,172,585,70,142,31,3,8,61,68,11,139,0,0,4,0,7,8,2,3,0.243,0.32,0.347,2017,ATL,0.667
LF,219,635,67,164,32,3,25,81,47,7,153,0,2,2,1,8,29,6,2,0.258,0.308,0.436,2017,ATL,0.744
CF,171,695,101,209,28,6,12,60,53,3,104,0,3,4,0,4,9,23,9,0.301,0.348,0.41,2017,ATL,0.758
RF,174,620,80,172,42,1,9,80,70,8,118,5,1,3,0,6,16,1,2,0.277,0.354,0.392,2017,ATL,0.746
C,183,597,75,144,30,0,19,75,58,0,119,22,0,8,0,4,15,0,0,0.241,0.327,0.387,2018,ATL,0.714
1B,172,626,94,194,46,4,23,98,80,12,134,7,0,6,0,9,12,10,3,0.31,0.391,0.506,2018,ATL,0.897
2B,170,683,109,181,44,5,27,83,35,0,125,5,1,3,0,9,10,14,4,0.265,0.304,0.463,2018,ATL,0.767
3B,183,619,86,172,37,2,25,97,60,6,149,7,0,3,0,8,14,6,3,0.278,0.347,0.465,2018,ATL,0.812
SS,174,587,64,131,26,4,15,66,62,21,156,6,6,3,0,11,9,10,5,0.223,0.302,0.358,2018,ATL,0.6599999999999999
LF,201,644,101,168,46,3,28,91,60,2,179,9,0,4,0,7,9,17,5,0.261,0.331,0.472,2018,ATL,0.8029999999999999
CF,176,646,97,180,31,7,14,73,54,1,95,6,4,5,0,6,6,31,15,0.279,0.338,0.413,2018,ATL,0.751
RF,177,635,78,186,39,2,16,92,71,10,91,1,0,8,0,5,18,1,1,0.293,0.361,0.436,2018,ATL,0.7969999999999999
C,180,579,66,138,24,4,24,84,65,5,165,10,0,8,0,3,22,0,0,0.238,0.322,0.418,2019,ATL,0.74
1B,177,631,114,182,35,2,39,122,88,11,142,6,0,2,0,5,17,6,3,0.288,0.38,0.536,2019,ATL,0.916
2B,165,658,105,194,44,9,24,89,55,6,113,4,0,4,0,9,2,15,4,0.295,0.351,0.498,2019,ATL,0.849
3B,173,610,112,163,35,0,42,107,98,3,165,9,0,2,0,8,13,5,1,0.267,0.376,0.531,2019,ATL,0.907
SS,170,631,91,151,35,3,19,79,62,3,158,8,2,5,0,8,13,10,5,0.239,0.313,0.395,2019,ATL,0.708
LF,214,639,92,164,21,3,36,103,51,4,198,7,0,4,3,9,8,7,3,0.257,0.317,0.468,2019,ATL,0.785
CF,190,630,116,168,26,4,31,87,80,4,168,10,0,1,0,8,7,34,7,0.267,0.358,0.468,2019,ATL,0.8260000000000001
RF,197,612,102,173,35,2,23,94,79,3,130,2,0,5,0,9,14,9,2,0.283,0.364,0.459,2019,ATL,0.823
C,172,564,56,108,20,1,16,59,57,6,172,7,1,3,0,5,13,0,0,0.191,0.273,0.316,2021,ATL,0.589
1B,172,621,121,183,26,2,31,84,86,15,114,8,0,2,0,8,11,8,3,0.295,0.386,0.493,2021,ATL,0.879
2B,165,651,108,172,42,8,31,110,48,2,133,3,0,7,0,6,4,20,4,0.264,0.315,0.496,2021,ATL,0.8109999999999999
3B,174,598,93,183,33,1,34,112,54,2,166,12,0,9,0,6,12,0,1,0.306,0.37,0.535,2021,ATL,0.905
SS,167,601,79,147,33,2,27,89,55,4,169,5,1,7,0,9,8,9,3,0.245,0.31,0.441,2021,ATL,0.751
LF,196,592,74,136,27,2,29,91,70,2,146,2,0,3,0,2,13,3,2,0.23,0.312,0.429,2021,ATL,0.741
CF,216,562,70,113,31,1,17,62,47,3,163,13,4,3,0,9,8,1,0,0.201,0.277,0.351,2021,ATL,0.628
RF,197,628,123,173,37,2,40,101,87,2,164,12,1,8,2,7,6,17,6,0.275,0.37,0.532,2021,ATL,0.902
C,165,599,95,169,34,2,35,97,50,1,149,12,0,2,0,6,12,2,0,0.282,0.348,0.521,2022,ATL,0.869
1B,163,620,86,148,44,0,34,103,75,6,171,4,0,4,0,3,14,0,0,0.239,0.323,0.474,2022,ATL,0.7969999999999999
2B,177,590,85,146,28,0,21,74,46,1,123,6,0,5,0,5,7,8,7,0.247,0.306,0.402,2022,ATL,0.708
3B,164,627,92,172,39,2,38,93,59,1,170,17,0,4,0,4,13,2,0,0.274,0.351,0.525,2022,ATL,0.876
SS,165,646,100,178,33,1,25,97,49,0,186,4,0,5,0,4,12,18,7,0.276,0.328,0.446,2022,ATL,0.774
LF,212,589,67,140,26,2,28,78,38,0,164,3,0,5,0,4,12,5,3,0.238,0.285,0.431,2022,ATL,0.716
CF,165,582,92,157,35,3,21,82,34,0,167,7,1,2,0,4,8,20,2,0.27,0.317,0.448,2022,ATL,0.765
RF,188,604,89,135,24,1,23,65,64,1,173,7,0,5,0,6,9,23,11,0.224,0.303,0.381,2022,ATL,0.6839999999999999
DH,174,610,74,140,31,0,18,62,48,1,180,6,0,4,0,4,15,9,1,0.23,0.29,0.369,2022,ATL,0.659
C,171,601,90,142,33,0,32,102,67,0,156,20,0,2,0,4,23,0,0,0.236,0.332,0.451,2023,ATL,0.783
1B,165,613,129,172,27,3,54,139,105,8,169,5,0,4,0,3,13,1,0,0.281,0.388,0.599,2023,ATL,0.987
2B,166,641,100,181,32,6,33,117,49,2,115,8,0,9,2,4,10,14,1,0.282,0.337,0.505,2023,ATL,0.8420000000000001
3B,163,647,117,179,32,3,37,97,60,4,174,9,0,11,0,6,18,3,1,0.277,0.341,0.507,2023,ATL,0.8480000000000001
SS,169,581,75,153,28,0,18,77,42,0,119,5,0,4,0,4,15,2,1,0.263,0.316,0.404,2023,ATL,0.72
LF,210,578,78,147,29,3,28,97,35,1,150,1,1,3,0,6,13,6,4,0.254,0.297,0.46,2023,ATL,0.757
CF,171,593,90,172,39,3,21,65,32,1,136,6,1,4,0,2,9,26,4,0.29,0.331,0.472,2023,ATL,0.8029999999999999
RF,172,671,152,223,37,4,42,111,79,3,90,8,0,4,0,7,16,73,15,0.332,0.407,0.587,2023,ATL,0.994
DH,174,605,95,162,32,1,41,105,65,1,151,4,0,2,0,9,11,0,0,0.268,0.342,0.527,2023,ATL,0.869
C,177,579,62,128,26,1,25,77,50,1,168,9,0,4,0,8,17,1,0,0.221,0.291,0.399,2024,ATL,0.69
1B,162,600,78,148,37,1,29,98,71,5,170,9,0,5,0,5,15,0,0,0.247,0.333,0.457,2024,ATL,0.79
2B,173,613,81,147,38,3,11,64,52,0,119,8,3,5,0,5,13,15,2,0.24,0.305,0.365,2024,ATL,0.6699999999999999
3B,169,615,78,155,39,2,23,76,49,0,158,5,1,2,0,6,8,1,0,0.252,0.311,0.434,2024,ATL,0.745
SS,170,567,50,122,24,0,17,48,44,1,134,2,3,7,0,6,16,3,0,0.215,0.271,0.347,2024,ATL,0.618
LF,203,563,58,129,18,2,18,62,34,1,166,6,1,5,0,8,11,8,5,0.229,0.278,0.364,2024,ATL,0.642
CF,171,648,85,160,21,4,27,72,39,1,161,4,1,4,0,9,8,16,7,0.247,0.292,0.417,2024,ATL,0.709
RF,201,625,96,149,33,1,24,66,60,0,188,9,0,1,2,11,8,19,4,0.238,0.314,0.41,2024,ATL,0.724
DH,177,608,96,183,31,0,39,104,74,2,170,4,0,4,1,3,23,1,0,0.301,0.378,0.544,2024,ATL,0.922
C,181,548,68,141,36,1,19,75,74,6,148,0,2,4,0,9,10,1,1,0.257,0.343,0.431,2010,CHN,0.774
1B,175,637,91,162,31,0,20,74,64,1,164,5,1,5,0,5,25,1,3,0.254,0.325,0.397,2010,CHN,0.722
2B,183,642,69,165,24,3,7,45,45,5,93,3,1,3,0,8,12,12,6,0.257,0.307,0.336,2010,CHN,0.643
3B,189,622,85,163,34,4,25,96,51,3,124,6,0,6,0,6,12,2,0,0.262,0.321,0.45,2010,CHN,0.771
SS,167,636,78,193,38,6,3,56,40,9,94,6,5,6,0,11,17,15,9,0.303,0.347,0.396,2010,CHN,0.743
LF,209,613,83,160,44,4,26,92,51,4,146,5,2,3,0,12,15,8,1,0.261,0.321,0.473,2010,CHN,0.794
CF,176,643,93,184,43,2,14,75,43,1,115,17,0,3,0,15,14,6,1,0.286,0.346,0.425,2010,CHN,0.7709999999999999
RF,204,625,82,156,35,6,27,86,78,2,148,5,2,6,1,4,11,8,9,0.25,0.335,0.454,2010,CHN,0.789
C,173,566,60,123,29,1,18,60,57,6,168,7,4,3,0,9,16,1,0,0.217,0.295,0.367,2011,CHN,0.6619999999999999
1B,181,566,79,128,31,3,31,93,106,7,181,4,1,7,0,4,8,2,2,0.226,0.348,0.456,2011,CHN,0.804
2B,186,648,78,182,30,7,6,58,28,3,88,7,7,4,1,17,17,9,2,0.281,0.316,0.377,2011,CHN,0.6930000000000001
3B,181,632,91,196,39,1,26,97,47,5,76,9,0,8,0,8,12,2,1,0.31,0.362,0.498,2011,CHN,0.86
SS,163,688,91,208,36,9,10,66,37,2,97,3,1,4,0,12,20,22,9,0.302,0.339,0.424,2011,CHN,0.763
LF,240,630,63,156,39,3,27,99,37,5,154,6,2,3,0,7,17,4,1,0.248,0.294,0.448,2011,CHN,0.742
CF,181,630,73,172,33,2,12,49,34,2,116,10,4,2,0,9,13,13,4,0.273,0.32,0.389,2011,CHN,0.7090000000000001
RF,208,627,71,164,32,7,12,47,61,5,136,6,5,2,0,8,9,5,3,0.262,0.332,0.392,2011,CHN,0.724
C,172,572,59,121,28,1,13,51,53,3,130,5,0,1,0,6,21,0,1,0.212,0.284,0.332,2012,CHN,0.616
1B,178,618,77,171,32,0,27,85,55,4,145,3,0,4,0,9,15,5,4,0.277,0.337,0.46,2012,CHN,0.797
2B,184,596,79,155,32,5,9,49,39,1,63,3,3,1,0,14,12,8,1,0.26,0.308,0.376,2012,CHN,0.6839999999999999
3B,183,572,50,115,29,2,12,55,69,5,139,3,0,3,0,9,18,3,6,0.201,0.289,0.322,2012,CHN,0.611
SS,165,653,79,185,29,12,14,78,36,5,102,4,0,5,0,12,15,25,13,0.283,0.322,0.429,2012,CHN,0.751
LF,213,622,74,159,35,3,30,107,49,3,162,8,0,3,0,4,18,9,2,0.256,0.317,0.466,2012,CHN,0.783
CF,207,599,64,138,27,5,9,38,58,3,158,5,8,2,0,14,8,26,7,0.23,0.303,0.337,2012,CHN,0.64
RF,210,616,84,148,35,6,11,53,64,2,137,7,3,3,0,12,10,8,10,0.24,0.317,0.37,2012,CHN,0.687
C,170,583,67,164,27,0,19,61,52,4,120,14,1,2,0,6,17,2,0,0.281,0.353,0.425,2013,CHN,0.778
1B,163,619,74,144,41,2,24,81,76,6,131,6,0,2,0,6,12,6,5,0.233,0.321,0.422,2013,CHN,0.743
2B,173,579,55,122,27,1,8,45,43,7,83,6,4,7,2,6,22,4,2,0.211,0.269,0.302,2013,CHN,0.571
3B,182,580,70,128,30,2,30,70,70,3,151,9,2,1,0,8,10,3,4,0.221,0.314,0.434,2013,CHN,0.748
SS,163,675,59,163,34,2,10,44,31,1,130,7,1,1,0,12,21,9,6,0.241,0.282,0.342,2013,CHN,0.624
LF,184,630,80,159,39,2,24,71,43,3,158,8,1,4,0,14,15,13,6,0.252,0.307,0.435,2013,CHN,0.742
CF,181,638,72,166,39,6,15,51,50,0,119,5,2,1,0,15,8,12,2,0.26,0.318,0.411,2013,CHN,0.729
RF,196,615,75,151,39,3,28,90,36,2,124,9,2,8,0,8,9,10,4,0.246,0.293,0.455,2013,CHN,0.748
C,173,579,36,128,27,0,13,61,45,3,164,9,5,5,0,4,9,1,0,0.221,0.285,0.335,2014,CHN,0.62
1B,167,603,98,170,33,1,34,86,82,8,142,18,0,5,0,7,9,6,4,0.282,0.381,0.509,2014,CHN,0.89
2B,192,622,68,143,29,4,11,55,41,4,140,3,5,2,0,7,7,15,5,0.23,0.28,0.342,2014,CHN,0.6220000000000001
3B,191,599,73,136,31,4,26,74,64,4,176,4,1,5,0,6,11,1,1,0.227,0.304,0.422,2014,CHN,0.726
SS,166,648,71,174,36,1,18,70,48,4,155,5,0,2,0,3,20,8,5,0.269,0.323,0.41,2014,CHN,0.733
LF,200,629,81,172,38,9,19,69,50,4,144,4,7,5,0,6,6,13,5,0.273,0.328,0.453,2014,CHN,0.781
CF,194,652,72,145,28,4,15,60,37,0,194,1,5,2,0,5,9,11,9,0.222,0.264,0.347,2014,CHN,0.611
RF,192,612,70,149,27,5,16,77,38,1,151,7,0,11,0,7,10,10,8,0.243,0.29,0.382,2014,CHN,0.6719999999999999
C,204,579,57,137,25,0,21,76,71,12,178,5,2,4,0,5,11,3,2,0.237,0.323,0.389,2015,CHN,0.712
1B,169,594,95,163,38,3,31,102,79,9,106,32,0,7,0,6,9,17,6,0.274,0.385,0.505,2015,CHN,0.89
2B,207,587,67,147,32,2,14,69,41,1,145,4,3,2,0,5,10,10,5,0.25,0.303,0.383,2015,CHN,0.6859999999999999
3B,194,600,95,168,38,6,28,104,76,1,196,10,2,5,0,4,7,12,4,0.28,0.368,0.503,2015,CHN,0.871
SS,179,625,66,154,25,2,14,77,35,8,137,4,1,5,0,11,19,7,4,0.246,0.288,0.36,2015,CHN,0.6479999999999999
LF,230,599,83,148,33,2,22,67,79,6,158,4,2,2,0,4,8,13,4,0.247,0.338,0.419,2015,CHN,0.757
CF,182,650,107,164,33,8,18,53,87,1,165,6,2,3,0,9,5,22,8,0.252,0.345,0.411,2015,CHN,0.756
